gamer	game	game.id	rating	fortrade	lastmodified	own	preordered	prevowned	want	wanttobuy	wanttoplay	wishlist	wishlistpriority
mikec	1830: The Game of Railroads and Robber Barons	421	8	FALSE	2013-03-22	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
mikec	1st & Goal	95105	4	FALSE	2013-01-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	7 Wonders	68448	7	FALSE	2015-10-26	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Acquire	5	6	FALSE	2013-01-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Ad Astra	38343	NA	FALSE	2013-09-02	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Advanced Heroquest	1758	NA	FALSE	2013-02-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Agent Hunter	140865	4	FALSE	2017-03-19	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Airlines Europe	90419	NA	FALSE	2017-02-06	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Akrotiri	154458	NA	FALSE	2017-01-15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Alien Frontiers	48726	NA	FALSE	2013-02-13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	5
mikec	Aliens	1770	NA	FALSE	2013-02-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Among the Stars	110277	NA	FALSE	2013-03-01	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	...and then, we held hands.	153999	NA	FALSE	2016-07-13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Android	39339	NA	FALSE	2013-02-17	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Antike	19600	NA	FALSE	2013-04-01	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Arkham Horror	15987	NA	FALSE	2016-04-28	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	5
mikec	Atlantis Rising	92120	NA	FALSE	2016-04-28	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Automobile	39351	NA	FALSE	2013-01-14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Awful Fantasy Adventures	225766	NA	FALSE	2017-06-15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Batman: Gotham City Mystery	6705	5	FALSE	2013-02-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Batman: Gotham City Strategy Game	130911	NA	FALSE	2016-04-28	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Batman: The Animated Series – 3D Board Game	9544	NA	FALSE	2013-03-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Battlestar Galactica: The Board Game	37111	6	FALSE	2016-04-28	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	5
mikec	Battlestations	12350	NA	FALSE	2017-02-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	5
mikec	Battlestations: Second Edition	196712	NA	FALSE	2016-04-12	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1
mikec	Borderlands	40	NA	FALSE	2013-02-17	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Boss Monster: The Dungeon Building Card Game	131835	5	FALSE	2016-11-04	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Buffy the Vampire Slayer: The Game	805	7	FALSE	2013-01-24	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Burger Joint	30057	NA	FALSE	2013-03-13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	The Captain Is Dead	159503	NA	FALSE	2017-05-01	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Captain Sonar	171131	9	FALSE	2017-01-03	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Catan	13	7	FALSE	2017-04-13	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Catan: Cities & Knights	926	NA	FALSE	2012-01-01	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Catan: Cities & Knights – 5-6 Player Extension	4101	NA	FALSE	2012-01-01	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Caylus	18602	NA	FALSE	2016-04-28	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	5
mikec	Citadels	478	8	FALSE	2014-12-06	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Clank!: A Deck-Building Adventure	201808	NA	FALSE	2017-02-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Codenames	178900	NA	FALSE	2016-04-28	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1
mikec	Core Worlds	98351	NA	FALSE	2013-02-10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Cosmic Encounter	40529	NA	FALSE	2012-01-01	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Coup	131357	5	FALSE	2016-04-28	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Crude: The Oil Game	147	NA	FALSE	2016-11-04	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Damage Report	128137	NA	FALSE	2016-01-23	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1
mikec	Dawn of the Zeds (First edition)	99130	NA	FALSE	2013-03-11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Dead of Winter: A Crossroads Game	150376	NA	FALSE	2016-04-28	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Deep Sea Adventure	169654	8	FALSE	2016-10-15	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Diplomacy	483	NA	FALSE	2012-01-01	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Dune	121	10	FALSE	2013-01-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Dune: Spice Harvest	2949	3	FALSE	2013-02-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Dungeon Fighter	102548	8	FALSE	2017-07-02	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Eclipse	72125	9	FALSE	2013-09-02	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	5
mikec	Elder Sign	100423	6	FALSE	2016-04-28	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Empires of the Void	98347	NA	FALSE	2017-02-06	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Escape the Nightmare	183649	NA	FALSE	2016-06-20	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Escape: The Curse of the Temple	113294	8	FALSE	2013-05-11	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Evo	1159	10	FALSE	2017-05-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Evolution	155703	NA	FALSE	2016-08-27	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2
mikec	Exodus: Proxima Centauri	122842	NA	FALSE	2017-02-04	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	The Expanse Board Game	220792	NA	FALSE	2017-05-07	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Explorers of the North Sea	176371	9	FALSE	2017-05-27	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	A Fake Artist Goes to New York	135779	8	FALSE	2016-04-28	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Firefly: The Game	138161	7	FALSE	2014-06-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Flash Point: Fire Rescue	100901	4	FALSE	2014-12-06	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Food Chain Magnate	175914	NA	FALSE	2017-02-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Galaxy Trucker	31481	NA	FALSE	2013-03-11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Galaxy's Edge	41032	NA	FALSE	2013-01-22	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Ghost Stories	37046	NA	FALSE	2013-03-14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Goblins, Inc.	110524	NA	FALSE	2013-09-02	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3
mikec	The Grizzled	171668	NA	FALSE	2017-03-19	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Ground Floor	38765	NA	FALSE	2017-04-13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3
mikec	Hanabi	98778	NA	FALSE	2013-02-20	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Haunted Castle	1307	NA	FALSE	2013-09-03	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
mikec	Le Havre	35677	NA	FALSE	2013-01-27	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	Hegemonic	92666	NA	FALSE	2013-01-27	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4
mikec	HeroQuest	699	5	FALSE	2016-06-25	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
