game.id	key	value
5	game	Acquire
5	type	boardgame
5	yearpublished	1964
5	description	In Acquire, each player strategically invests in businesses, trying to retain a majority of stock.  As the businesses grow with tile placements, they also start merging, giving the majority stockholders of the acquired business sizable bonuses, which can then be used to reinvest into other chains.  All of the investors in the acquired company can then cash in their stocks for current value or trade them 2-for-1 for shares of the newer, larger business.  The game is a race to acquire the greatest wealth.&#10;&#10;This Sid Sackson classic has taken many different forms over the years depending on the publisher.  Some versions of the 3M bookshelf edition included rules for a 2-player variant. The original version is part of the 3M Bookshelf Series.&#10;&#10;Note: many books and websites list this as a 1962 publication. This is incorrect; information from Sid Sackson's diaries, correspondence, and royalty statements prove that it was published in 1964.  However, for some reason admins continue to accept &quot;corrections&quot; of the publication date to 1962.  A detailed timeline of the development and publication of the game can be found at https://opinionatedgamers.com/2014/05/29/how-acquire-became-acquire/, for those interested.&#10;&#10;
5	minplayers	3
5	maxplayers	6
5	playingtime	90
5	minplaytime	90
5	maxplaytime	90
5	minage	12
5	comments	15946
5	boardgamecategory	Economic
5	boardgamemechanic	Hand Management
5	boardgamemechanic	Stock Holding
5	boardgamemechanic	Tile Placement
5	boardgamefamily	3M Bookshelf Series
5	boardgamedesigner	Sid Sackson
5	boardgameartist	Scott Okumura
5	boardgameartist	Peter Whitley
5	boardgamepublisher	3M
5	boardgamepublisher	The Avalon Hill Game Co (TAHGC)
5	boardgamepublisher	Avalon Hill Games, Inc.
5	boardgamepublisher	Dujardin
5	boardgamepublisher	Grow Jogos e Brinquedos
5	boardgamepublisher	PS-Games
5	boardgamepublisher	Schmidt France
5	boardgamepublisher	Schmidt International
5	boardgamepublisher	Schmidt Spiele
5	boardgamepublisher	Selecta Spel en Hobby
5	boardgamepublisher	Smart Games, Inc.
13	game	Catan
13	type	boardgame
13	yearpublished	1995
13	description	In Catan (formerly The Settlers of Catan), players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players collect these resources (cards)&mdash;wood, grain, brick, sheep, or stone&mdash;to build up their civilizations to get to 10 victory points and win the game.&#10;&#10;Setup includes randomly placing large hexagonal tiles (each showing a resource or the desert) in a honeycomb shape and surrounding them with water tiles, some of which contain ports of exchange. Number disks, which will correspond to die rolls (two 6-sided dice are used), are placed on each resource tile. Each player is given two settlements (think: houses) and roads (sticks) which are, in turn, placed on intersections and borders of the resource tiles. Players collect a hand of resource cards based on which hex tiles their last-placed house is adjacent to. A robber pawn is placed on the desert tile.&#10;&#10;A turn consists of possibly playing a development card, rolling the dice, everyone (perhaps) collecting resource cards based on the roll and position of houses (or upgraded cities&mdash;think: hotels) unless a 7 is rolled, turning in resource cards (if possible and desired) for improvements, trading cards at a port, and trading resource cards with other players. If a 7 is rolled, the active player moves the robber to a new hex tile and steals resource cards from other players who have built structures adjacent to that tile.&#10;&#10;Points are accumulated by building settlements and cities, having the longest road and the largest army (from some of the development cards), and gathering certain development cards that simply award victory points. When a player has gathered 10 points (some of which may be held in secret), he announces his total and claims the win.&#10;&#10;Catan has won multiple awards and is one of the most popular games in recent history due to its amazing ability to appeal to experienced gamers as well as those new to the hobby.&#10;&#10;Die Siedler von Catan was originally published by KOSMOS and has gone through multiple editions. It was licensed by Mayfair and has undergone four editions as The Settlers of Catan. In 2015, it was formally renamed Catan to better represent itself as the core and base game of the Catan series. It has been re-published in two travel editions, portable edition and compact edition, as a special gallery edition (replaced in 2009 with a family edition), as an anniversary wooden edition, as a deluxe 3D collector's edition, in the basic Simply Catan, as a beginner version, and with an entirely new theme in Japan and Asia as Settlers of Catan: Rockman Edition. Numerous spin-offs and expansions have also been made for the game.&#10;&#10;
13	minplayers	3
13	maxplayers	4
13	playingtime	120
13	minplaytime	60
13	maxplaytime	120
13	minage	10
13	comments	71555
13	boardgamecategory	Negotiation
13	boardgamemechanic	Dice Rolling
13	boardgamemechanic	Hand Management
13	boardgamemechanic	Modular Board
13	boardgamemechanic	Route/Network Building
13	boardgamemechanic	Trading
13	boardgamefamily	Catan
13	boardgamefamily	Promotional Board Games
13	boardgameexpansion	20 Jahre Darmstadt Spielt
13	boardgameexpansion	Brettspiel Adventskalender 2015
13	boardgameexpansion	Catakatoa
13	boardgameexpansion	Catan Austria / Wien meets Catan
13	boardgameexpansion	Catan Geographies: Austria
13	boardgameexpansion	Catan Geographies: Bayern Edition
13	boardgameexpansion	Catan Geographies: Corsica
13	boardgameexpansion	Catan Geographies: Georgia
13	boardgameexpansion	Catan Geographies: Kennessee
13	boardgameexpansion	Catan Geographies: Mallorca
13	boardgameexpansion	Catan Geographies: North Rhine – Westphalia
13	boardgameexpansion	Catan Geographies: Settlers of Hesse
13	boardgameexpansion	Catan Länderszenarien: Polen
13	boardgameexpansion	Catan Länderszenarien: Rickshaw Run
13	boardgameexpansion	Catan Scenarios: Big Game Big Honor
13	boardgameexpansion	Catan Scenarios: Catanimals
13	boardgameexpansion	Catan Scenarios: Frenemies
13	boardgameexpansion	Catan Scenarios: Helpers of Catan
13	boardgameexpansion	Catan Scenarios: Oil Springs
13	boardgameexpansion	Catan Scenarios: Santa Claus
13	boardgameexpansion	Catan World Championship Berlin 2014 Special
13	boardgameexpansion	Catan: 5-6 Player Extension
13	boardgameexpansion	Catan: 999 Games 25 jaar Expansion
13	boardgameexpansion	Catan: Catan Day 2015 Exclusive Expansion
13	boardgameexpansion	Catan: Cities & Knights
13	boardgameexpansion	Catan: Cities & Knights – 5-6 Player Extension
13	boardgameexpansion	Catan: Delmarva
13	boardgameexpansion	Catan: Event Cards
13	boardgameexpansion	Catan: Explorers & Pirates
13	boardgameexpansion	Catan: Explorers & Pirates – 5-6 Player Extension
13	boardgameexpansion	Catan: Indiana & Ohio
13	boardgameexpansion	Catan: New England
13	boardgameexpansion	Catan: New York
13	boardgameexpansion	Catan: Penn/Jersey
13	boardgameexpansion	Catan: Playmat Desert
13	boardgameexpansion	Catan: Playmat Gold
13	boardgameexpansion	Catan: Seafarers
13	boardgameexpansion	Catan: Seafarers Scenario – Legend of the Sea Robbers
13	boardgameexpansion	Catan: Seafarers – 5-6 Player Extension
13	boardgameexpansion	Catan: Seefahrer – 20 Jahre Jubiläums-Edition
13	boardgameexpansion	Catan: The Carolinas
13	boardgameexpansion	Catan: Traders & Barbarians
13	boardgameexpansion	Catan: Traders & Barbarians – 5-6 Player Extension
13	boardgameexpansion	Catan: World Championship Durango 2016 Special
13	boardgameexpansion	Der Hafenmeister
13	boardgameexpansion	Heroes & Capitols (fan expansion for Settlers of Catan)
13	boardgameexpansion	Hexen, Zauberer & Drachen (Fan expansion to Catan: Cities and Knights)
13	boardgameexpansion	Katani  pankur
13	boardgameexpansion	Kirche, Glaube & Reformation (Fan expansion to Catan: Cities and Knights)
13	boardgameexpansion	De Kolonisten van Catan: De Diamanten
13	boardgameexpansion	De Kolonisten van Catan: De drie Handelsteden van Noord-Nederland
13	boardgameexpansion	De Kolonisten van Catan: De Koloniën
13	boardgameexpansion	De Kolonisten van Catan: De Specialisten
13	boardgameexpansion	De Kolonisten van Catan: De Wereldwonderen
13	boardgameexpansion	De Kolonisten van Catan: De Woestijnruiters
13	boardgameexpansion	De Kolonisten van Catan: Het Grote Kanaal
13	boardgameexpansion	Mayfair Game Variants & Mini-Expansions Set #1
13	boardgameexpansion	Die Pioniere (fan expansion for The Settlers of Catan)
13	boardgameexpansion	Saggsen-Gadan: De säggs'schn Siedler / Catan-OFFENSIVE in Chemnitz
13	boardgameexpansion	The Settlers of Catan: The Fishermen of Catan
13	boardgameexpansion	The Settlers of Catan: The Great River
13	boardgameexpansion	Settlers of New Catan (and extra modules)
13	boardgameexpansion	Die Siedler von Catan: Atlantis – Szenarien & Varianten
13	boardgameexpansion	Die Siedler von Catan: Das Buch zum Spielen
13	boardgameexpansion	Die Siedler von Catan: Der Schokoladenmarkt
13	boardgameexpansion	Die Siedler von Catan: Die große Karawane
13	boardgameexpansion	Die Siedler von Catan: Hispania Edition
13	boardgameexpansion	Die Siedler von Catan: Historische Szenarien
13	boardgameexpansion	Die Siedler von Catan: Historische Szenarien II
13	boardgameexpansion	Die Siedler von Catan: Hochzeitsturm
13	boardgameexpansion	Die Siedler von Catan: Renaissance in der Steiermark & Burgbau auf Chaffenberch
13	boardgameexpansion	Die Siedler von Catan: Rincewind und der Tourist  /  Die Gilden von Ankh-Morpork
13	boardgameexpansion	Die Siedler von Catan: Schätze, Drachen & Entdecker
13	boardgameexpansion	Die Siedler von Catan: Thüringen Edition
13	boardgameexpansion	Die Siedler von Luxemburg
13	boardgameexpansion	World Wonders (fan expansion to Catan)
13	boardgamecompilation	CATAN 3D Collector's Edition
13	boardgamecompilation	Catan: Big Box
13	boardgamecompilation	Catan: Big Box
13	boardgamecompilation	The Settlers of Catan: 15th Anniversary Wood Edition
13	boardgameimplementation	CATAN 3D Collector's Edition
13	boardgameimplementation	Catan Geographies: Germany
13	boardgameimplementation	Catan Histories: Settlers of America – Trails to Rails
13	boardgameimplementation	Catan Junior
13	boardgameimplementation	Catan: Ancient Egypt
13	boardgameimplementation	Catan: Big Box
13	boardgameimplementation	Catan: Big Game Event Kit
13	boardgameimplementation	Catan: Portable Edition
13	boardgameimplementation	Catan: Traveler – Compact Edition
13	boardgameimplementation	A Game of Thrones: Catan – Brotherhood of the Watch
13	boardgameimplementation	De Kolonisten van de Lage Landen
13	boardgameimplementation	The Settlers of Canaan
13	boardgameimplementation	The Settlers of the Stone Age
13	boardgameimplementation	The Settlers of Zarahemla
13	boardgameimplementation	Simply Catan
13	boardgameimplementation	Star Trek: Catan
13	boardgameimplementation	Starfarers of Catan
13	boardgamedesigner	Klaus Teuber
13	boardgameartist	Volkan Baga
13	boardgameartist	Tanja Donner
13	boardgameartist	Pete Fenlon
13	boardgameartist	Jason Hawkins
13	boardgameartist	Michaela Kienle
13	boardgameartist	Harald Lieske
13	boardgameartist	Michael Menzel
13	boardgameartist	Marion Pott
13	boardgameartist	Matt Schwabel
13	boardgameartist	Franz Vohwinkel
13	boardgameartist	Stephen Graham Walsh
13	boardgamepublisher	KOSMOS
13	boardgamepublisher	999 Games
13	boardgamepublisher	Albi
13	boardgamepublisher	Astrel Games
13	boardgamepublisher	Bergsala Enigma
13	boardgamepublisher	Brain Games
13	boardgamepublisher	Capcom Co., Ltd.
13	boardgamepublisher	Catan Studio
13	boardgamepublisher	Competo / Marektoy
13	boardgamepublisher	danspil
13	boardgamepublisher	Descartes Editeur
13	boardgamepublisher	Devir
13	boardgamepublisher	Dexy Co
13	boardgamepublisher	Eurogames
13	boardgamepublisher	Filosofia Éditions
13	boardgamepublisher	Galakta
13	boardgamepublisher	Giochi Uniti
13	boardgamepublisher	GP Games
13	boardgamepublisher	Grow Jogos e Brinquedos
13	boardgamepublisher	HaKubia
13	boardgamepublisher	Hanayama
13	boardgamepublisher	Hobby World
13	boardgamepublisher	Ideal Board Games
13	boardgamepublisher	IntelliGames.BG
13	boardgamepublisher	Ísöld ehf.
13	boardgamepublisher	Kaissa Chess & Games
13	boardgamepublisher	Korea Boardgames co., Ltd.
13	boardgamepublisher	L&M Games
13	boardgamepublisher	Laser plus
13	boardgamepublisher	Lautapelit.fi
13	boardgamepublisher	Logojogos
13	boardgamepublisher	Mayfair Games
13	boardgamepublisher	Ninive Games
13	boardgamepublisher	Piatnik
13	boardgamepublisher	Smart Ltd
13	boardgamepublisher	Stupor Mundi
13	boardgamepublisher	Swan Panasia Co., Ltd.
13	boardgamepublisher	Tilsit
13	boardgamepublisher	Top Toys
13	boardgamepublisher	TRY SOFT
18	game	RoboRally
18	type	boardgame
18	yearpublished	1994
18	description	The robots of the Robo Rally automobile factory spend their weekdays toiling at the assembly line. They put in hard hours building high-speed supercars they never get to see in action. But on Saturday nights, the factory becomes a world of mad machines and dangerous schemes as these robots engage in their own epic race.It takes speed, wits, and dirty tricks to become a racing legend! Each player chooses a robot and directs its moves by playing cards. Chaos ensues as all players reveal the cards they've chosen. Players face obstacles like industrial lasers, gaping pits, and moving conveyer belts -- but those can also be used to their advantage! Each player aims to make it to each of the checkpoints in numerical order. The first player to reach all of the checkpoints wins. (source: http://avalonhill.wizards.com/games/robo-rally/comingsoon)&#10;&#10;&#10;&#10;In RoboRally players each control a different robot in a race through a dangerous factory floor. Several goals will be placed on the board and you must navigate your robot to them in a specific order. The boards can be combined in several different ways to accommodate different player counts and races can be as long or as short as player's desire.&#10;&#10;In general, players will first fill all of their robot's &quot;registers&quot; with facedown movement cards. This happens simultaneously and there is a time element involved. If you don't act fast enough you are forced to place cards randomly to fill the rest. Then, starting with the first register, everyone reveals their card. The card with the highest number moves first. After everyone resolves their movement they reveal the next card and so on. Examples of movement cards may be to turn 90 degrees left or right, move forward 2 spaces, or move backward 1 space though there are a bigger variety than that. You can plan a perfect route, but if another robot runs into you it can push you off course. This can be disastrous since you can't reprogram any cards to fix it!&#10;&#10;Robots fire lasers and factory elements resolve after each movement and robots may become damaged. If they take enough damage certain movement cards become fixed and can no longer be changed. If they take more they may be destroyed entirely. The first robot to claim all the goals in the correct order wins, though some may award points and play tournament style.&#10;&#10;The game was reprinted by Avalon Hill (Hasbro/WotC) in 2005.&#10;&#10;
18	minplayers	2
18	maxplayers	8
18	playingtime	120
18	minplaytime	45
18	maxplaytime	120
18	minage	12
18	comments	19948
18	boardgamecategory	Miniatures
18	boardgamecategory	Racing
18	boardgamecategory	Science Fiction
18	boardgamemechanic	Action / Movement Programming
18	boardgamemechanic	Grid Movement
18	boardgamemechanic	Modular Board
18	boardgamemechanic	Simultaneous Action Selection
18	boardgamefamily	Robots
18	boardgameexpansion	RoboRally: Armed and Dangerous
18	boardgameexpansion	RoboRally: Crash and Burn
18	boardgameexpansion	RoboRally: Grand Prix
