game	yearpublished	minplayers	maxplayers	minage	minplaytime	maxplaytime	comments	description
1830: Railways & Robber Barons	1986	2	7	14	180	360	3503	1830 is one of the most famous 18xx games. One of the things some gamers like about this game is that the game has 'no chance' element. That is to say, if players wished to play two games with the same moves, the outcome would be the same also.&#10;&#10;This game takes the basic mechanics from Tresham's 1829, and adds several new elements. Players are seeking to make the most money by buying and selling stock in various share companies located on eastern United States map. The stock manipulation aspect of the game is widely-regarded as one of the best. The board itself is actually a fairly abstract hexagonal system, with track tiles placed on top of the hexes. Plus each 18xx title adds new and different elements to the game. This game features private rail companies and an extremely vicious, 'robber baron' oriented stock market. A game is finished when the bank runs out of money or one player is forced to declare bankruptcy, and the player with the greatest personal holdings wins.&#10;&#10;The 2011 version of 1830 was published by Mayfair Games in partnership with Lookout Games of Germany. This publication was developed under license from Francis Tresham in co-operation with Bruce Shelley (the original 1830 developer). This version contains rules and components for Francis Tresham's original classic design, a faster-playing basic game, and new variants from some of the world's best railroad game developers.&#10;&#10;
1st & Goal	2011	2	4	13	120	150	1256	1st &amp; Goal pits two football teams in a classic gridiron match. Players call plays using the cards available in their hands. Yardage gained or lost is determined by a roll of the dice, and strategic play-calling makes all the difference as to which dice you get to roll for each play. The right offensive play might gain you a lot of yardage &ndash; unless the defense sets up correctly to stop it. After that, it all comes down to the roll of the dice...&#10;&#10;Fumbles, interceptions, sacks, penalties, deep passes, breakaway runs &ndash; it's all here. 1st &amp; Goal comes with three Running Dice, three Passing Dice, a Defense Die, a Play Die, a Referee Die, and a Penalty Die. The card decks include 60 Offense cards and 60 Defense cards. Six &quot;division&quot; packs, each with four unique DFL (Dice Football League) expansion teams, are sold separately.&#10;&#10;
7 Wonders	2010	2	7	10	30	30	53975	You are the leader of one of the 7 great cities of the Ancient World. Gather resources, develop commercial routes, and affirm your military supremacy. Build your city and erect an architectural wonder which will transcend future times.&#10;&#10;7 Wonders lasts three ages. In each age, players receive seven cards from a particular deck, choose one of those cards, then pass the remainder to an adjacent player. Players reveal their cards simultaneously, paying resources if needed or collecting resources or interacting with other players in various ways. (Players have individual boards with special powers on which to organize their cards, and the boards are double-sided). Each player then chooses another card from the deck they were passed, and the process repeats until players have six cards in play from that age. After three ages, the game ends.&#10;&#10;In essence, 7 Wonders is a card development game. Some cards have immediate effects, while others provide bonuses or upgrades later in the game. Some cards provide discounts on future purchases. Some provide military strength to overpower your neighbors and others give nothing but victory points. Each card is played immediately after being drafted, so you'll know which cards your neighbor is receiving and how his choices might affect what you've already built up. Cards are passed left-right-left over the three ages, so you need to keep an eye on the neighbors in both directions.&#10;&#10;Though the box of earlier editions is listed as being for 3&ndash;7 players, there is an official 2-player variant included in the instructions.&#10;&#10;
Acquire	1964	3	6	12	90	90	15786	In Acquire, each player strategically invests in businesses, trying to retain a majority of stock.  As the businesses grow with tile placements, they also start merging, giving the majority stockholders of the acquired business sizable bonuses, which can then be used to reinvest into other chains.  All of the investors in the acquired company can then cash in their stocks for current value or trade them 2-for-1 for shares of the newer, larger business.  The game is a race to acquire the greatest wealth.&#10;&#10;This Sid Sackson classic has taken many different forms over the years depending on the publisher.  Some versions of the 3M bookshelf edition included rules for a 2-player variant. The original version is part of the 3M Bookshelf Series.&#10;&#10;Note: many books and websites list this as a 1962 publication. This is incorrect; information from Sid Sackson's diaries, correspondence, and royalty statements prove that it was published in 1964.  However, for some reason admins continue to accept &quot;corrections&quot; of the publication date to 1962.  A detailed timeline of the development and publication of the game can be found at https://opinionatedgamers.com/2014/05/29/how-acquire-became-acquire/, for those interested.&#10;&#10;
Ad Astra	2009	3	5	13	60	60	2606	Humans have evolved into five different races, each of them adapted to life in different planetary conditions. Guide one of the five human factions in its exploration of the galaxy, while exploiting resources, terraforming planets and creating advanced space colonies. You may even find artifacts of a long-lost alien civilization and use them to your advantage.&#10;&#10;A game round consists of three phases: planning phase, action phase and end of round. During the planning phase, action cards are placed face-down on any empty space of a shared planning board. When all spaces on the board have been filled, the action phase begins. In sequence, each card is revealed and all players may carry out the corresponding action. At the end of round, the action cards are returned to the players' hands and a new round begins.&#10;&#10;The available actions are:&#10;&#10;    Production: one of the resources depicted on the card is generated on every matching planet.&#10;    Movement: starships may be moved to other planets by spending energy.&#10;    Build: colonies, factories, starships and terraformers may be built on the planets by using resource cards.&#10;    Trade: resource cards may be traded among the players and the bank.&#10;    Scoring: the players are scored based on one of the game elements depicted on the card.&#10;&#10;&#10;&#10;&#10;The owner of each card has an advantage when resolving it, such as deciding which resource is generated or on which game element the players score.&#10;&#10;The game ends when one player reaches at least 50 victory points or when all planets have been discovered. At that point, the player with the most victory points is the winner.&#10;&#10;
Advanced Heroquest	1989	1	5	10	120	120	1020	Advanced HeroQuest is a revised and expanded version of the Milton Bradley HeroQuest game.  The basic concept is the same: four heroes venture into a dungeon to fight monsters and gain treasure, but Advanced HeroQuest's rules are more detailed and complex.&#10;&#10;The major additions and changes include:&#10;&#10;    random dungeon generation system&#10;    modular game board&#10;    ranged combat&#10;    multiple colleges of magic and spell books&#10;    henchmen&#10;    critical hits and fumbles&#10;    fate points (the &quot;undo&quot; feature)&#10;&#10;&#10;&#10;&#10;Games Workshop set Advanced HeroQuest in the Warhammer universe, presumably to foster sales of their miniatures.  The campaign world is easy to ignore, however, should players rather keep things generic.  Advanced HeroQuest also includes rules for using the characters and monsters from HeroQuest, should players want to do so.&#10;&#10;The game is supplied with Skaven figures that make up the quest within the rulebook. The exact same Skaven, henchmen and hero miniatures were also included in Mighty Warriors, also by Games-Workshop.&#10;&#10;The following White Dwarf issues contain adventure scenarios, spell lists, or other information for Advanced Heroquest:&#10;&#10;Issue #121     The Quest for Sonneklinge (scenario and Jade spell list)&#10;Issue #122     The Priests of Pleasure&#10;Issue #125     The Dark Beneath the World (scenario and Amethyst spell list)&#10;Issue #134     The Trollslayer's Oath&#10;Issue #138     Henchmen (new followers for AHQ: the Dwarf Trollslayer, the Elf Wardancer, the Human Captain, and the Wizard's Apprentice -- this material is duplicated in Terror in the Dark)&#10;Issue #139     Treasure (This material is also duplicated in Terror in the Dark)&#10;Issue #145     The Eyes of Chaos (has rules for both AHQ and HQ)&#10;Issue #150     The Changing Faces of Tzeench&#10;Issue #159     Rivers of Blood&#10;&#10;Advanced HeroQuest: Paint Set has replacement heroes and additional minis.&#10;&#10;
Agent Hunter	2013	2	2	12	15	15	709	In Agent Hunter, two players act as rival agents attempting to eliminate their opponent's safe houses, which are represented by face-down cards; the cards range in value from 0 to 9. The closer you get to uncovering your target, however, the more you risk compromising your own position. Stealth and cunning are your greatest allies as only agents who remain hidden in the shadows will survive the hunt. During the game, players take turns choosing one of these actions:&#10;&#10;&#10;     Attack from Your Hand&#10;     Switch Agents&#10;     Attack from Your Safe House&#10;&#10;&#10;When you attack from your hand, reveal one of your agent cards from your hand and target one of your opponent's safe houses. If the card is a match, you eliminate that safe house. Otherwise your opponent reveals whether your card is higher or lower than the hidden card in the safe house but does not reveal the numeral on that card.&#10;&#10;When you switch agents, you replace a face-down card from one of your safe houses with a card in your hand, possibly the same card. You can take this action at most five times during the game.&#10;&#10;When you attack from your safe house, you reveal one of your face-down safe house cards, then reveal an opponent's safe house. If the numbers match, your opponent's safe house is eliminated; otherwise your safe house is eliminated.&#10;&#10;Players keep swapping turns until all three of a player's safe houses are eliminated.&#10;&#10;
Airlines Europe	2011	2	5	10	75	75	5549	Before Ticket to Ride, before Santa Fe Rails, before Union Pacific &ndash; yet after Acquire &ndash; there was Airlines, one of the earliest published games from designer Alan R. Moon and publisher ABACUSSPIELE.&#10;&#10;More than two decades after the publication of that game, Moon and ABACUSSPIELE present Airlines Europe, the design of which Moon began in 2007. According to the publisher, &quot;He wanted to preserve the feel of the original game and its successor, Union Pacific, while confronting the player with even more exciting choices.&quot; The result of that redesign process is Airlines Europe, featuring a reduced playing time, a new point structure, a European setting, and 112 tiny detailed airplanes.&#10;&#10;At its heart, Airlines Europe is a stock game, with players earning points for the stock they hold in particular airline companies when one of the randomly determined scorings takes place. On a player's turn, that player either expands an airline and claims a stock, plays stock onto the board and receives dividend, invests in a special airline called Air ABACUS or gets a certain amount of money from the bank. A player scores only for stock in play, but the value of an airline is determined by the value of the route licenses that airline owns  &ndash; thus, you're torn in terms of what to play when.&#10;&#10;Some changes compared to Airlines:&#10;&#10;&#10;     map of Europe&#10;     no flight cards &#10;     special Air ABACUS airline similar to the Union Pacific &#10;     share track system&#10;     separate victory point and money systems&#10;     airplane miniatures&#10;     no sabotage &#10;     up to 5 players&#10;     reduced playtime&#10;&#10;&#10;Some changes compared to Union Pacific:&#10;&#10;&#10;     airplane theme&#10;     map of Europe&#10;     no track cards&#10;     Air ABACUS is acquired by trading in other shares&#10;     share track system &#10;     separate victory point and money systems&#10;     up to 5 players&#10;     reduced playtime &#10;&#10;&#10;Re-implements:&#10;&#10;    Airlines&#10;    Union Pacific&#10;&#10;&#10;&#10;&#10;Promo Expansions:&#10;&#10;    Airlines Europe: Flight Ban (adding the option to block routes)&#10;    Airlines Europe: New Bonus Connections (adding bonus connections for the black and the brown airline)&#10;    Airlines Europe: The Presidents (adds tie breaker for stock payouts)&#10;&#10;&#10;&#10;&#10;
Akrotiri	2014	2	2	13	45	45	1841	Akrotiri places you in the role of an explorer in Classical Greek times, combing the then-uncharted Aegean sea for lost Minoan temples that have long ago fallen into ruin. You've not only heard of these temples hidden around the island of Thera, but you actually have access to the secret maps that tell you of their hidden locations! Two mountains to the north?  A volcano to the west? This *must* be the spot...&#10;&#10;But running an expedition can be costly. In order to fund your voyages into the unknown and excavate the ancient temples, you will have to first ship resources found on surrounding islands back to the resource-poor island of Thera.&#10;&#10;In Akrotiri &mdash; which combines tile placement, hand management, and pick-up and delivery &mdash; players place land tiles in order to make the board match the maps that they have in hand. Players excavate temples; the ones that are harder to find and the ones further away from Thera are worth more towards victory, but the secret goal cards keep everyone guessing who the victor is until the end! May the gods forever bless you with favorable winds!&#10;&#10;
Alien Frontiers	2010	2	4	13	90	90	11583	Do you have what it takes to be a deep space colonist?  An alien frontier awaits the brave and daring!  This new planet will be harsh, but if you have the skills to manage your resources, build a fleet, research alien life, and settle colonies, the world can be yours.&#10;&#10;Alien Frontiers is a game of resource management and planetary development for two to four players. During the game you will utilize orbital facilities and alien technology to build colony domes in strategic locations to control the newly discovered world.&#10;&#10;The game board shows the planet, its moon, the stations in orbit around the planet, and the solar system&rsquo;s star. The dice you are given at the start of the game represent the space ships in your fleet. You will assign these ships to the orbital facilities in order to earn resources, expand your fleet, and colonize the planet.&#10;&#10;As the game progresses, you will place your colony tokens on the planet to represent the amount of control you have over each territory. Those territories exert influence over specific orbital facilities and, if you control a territory, you are able to utilize that sway to your advantage.&#10;&#10;The planet was once the home of an alien race and they left behind a wondrous artifact in orbit. Using your fleet to explore the artifact, you will discover amazing alien technologies that you can use to advance your cause.&#10;&#10;Winning the game will require careful consideration as you assign your fleet, integrate the alien technology and territory influences into your expansion plans, and block your opponents from building colonies of their own. Do you have what it takes to conquer an alien frontier?&#10;&#10;Roll and place your dice to gain advantages over your opponent and block them out of useful areas of the board.  Use Alien Tech cards to manipulate your dice rolls and territory bonuses to break the rules.  Steal resources, overtake territories, and do whatever it takes to get your colonies on the map first!  Don't dream it'll be easy, though, because the other players will be trying to do the same thing.&#10;&#10;
